start_dt,end_dt,store_cd,store_num,prod_cd,price_unit,price
01/11/2019,01/31/2019,1,1,1,1,1.99
01/19/2019,02/15/2019,1,1,4,2,0.99
01/19/2019,01/26/2019,1,1,5,1,0.7
01/19/2019,01/26/2019,1,2,1,2,0.75
01/19/2019,01/26/2019,1,2,5,1,0.6
01/19/2019,01/26/2019,2,1,1,1,1.5
01/19/2019,01/26/2019,2,2,3,1,2
01/19/2019,01/26/2019,2,2,9,1,3.9
01/19/2019,01/26/2019,3,1,9,1,4
01/19/2019,01/26/2019,4,1,2,2,1.5
01/19/2019,01/26/2019,4,1,4,2,2
01/19/2019,01/26/2019,4,1,5,1,0.6
01/19/2019,01/26/2019,4,1,6,1,0.9
01/19/2019,01/26/2019,4,1,7,1,1
01/19/2019,01/26/2019,4,1,8,1,6.5
01/19/2019,01/26/2019,4,1,12,2,1
